question,answer
26,2
27,2
28,3
29,3
30,1
31,3
32,1
33,2
34,1
35,2
36,4
37,3
38,4
39,3
40,4
41,1
42,2
43,1
44,2
45,1
46,1
47,4
48,2
49,4
50,4
51,4
52,3
53,2
54,2
55,3
56,1
57,4
58,3
59,2
60,3
61,2
62,4
63,3
64,3
65,2
66,3
67,2
68,1
69,4
70,4
71,2
72,4
73,1
74,2
75,4
76,2
77,3
78,3
79,2
80,1
81,1
82,3
83,4
84,1
85,1
86,3
87,4
88,3
89,4
90,4
91,1
92,2
93,1
94,4
95,3
96,3
97,2
98,1
99,2
100,4
101,2
102,4
103,4
104,2
105,1
106,3
107,4
108,3
109,2
110,1
111,3
112,1
113,2
114,4
115,1
116,1
117,1
118,4
119,2
120,2
121,3
122,1
123,4
124,2
125,4
126,3
127,4
128,4
129,4
130,3
131,2
132,3
133,4
134,3
135,2
136,2
137,3
138,3
139,2
140,2
141,4
142,1
143,3
144,3
145,2
146,1
147,3
148,1
149,3
150,2
151,1
152,2
153,3
154,4
155,2
156,3
157,1
158,2
159,3
160,1
161,2
162,4
163,1
164,1
165,1
166,1
167,1
168,4
169,1
170,2
171,1
172,3
173,2
174,1
175,4
176,4
177,3
178,4
179,1
180,4
181,3
182,1
183,3
184,2
185,1
186,4
187,4
188,3
189,2
190,3
191,2
192,1
193,3
194,3
195,4
196,4
197,2
198,1
199,3
200,1
201,3
202,2
203,4
204,1
205,3
206,2
207,1
208,3
209,1
210,4
